Date,Sps,SapFlux_g_s_m2,SapFlow_cm3water_s,VPD_kPa,Avrg_VWC0_50,Hindex
3/5/2019,cepy,23.42504742,0.225179727,0.952823969,0.132149867,0.155974049
3/5/2019,cole,11.67479508,0.786452752,0.952823969,0.132149867,0.036643668
3/6/2019,cepy,24.44186218,0.236222261,1.728879692,0.122191013,0.178191342
3/6/2019,cole,15.94613754,1.044593554,1.728879692,0.122191013,0.186259399
3/7/2019,cepy,23.1513815,0.225063185,1.773692011,0.109635706,0.186440048
3/7/2019,cole,14.00551848,0.919636299,1.773692011,0.109635706,0.189089111
3/8/2019,cepy,24.34851651,0.238899248,1.988742959,0.101656472,0.204590117
3/8/2019,cole,7.33909302,0.725187891,1.988742959,0.101656472,0.104041065
3/9/2019,cepy,26.92584406,0.264434397,2.042745589,0.095758064,0.271843737
3/9/2019,cole,4.227110071,0.444248862,2.042745589,0.095758064,0.058581445
3/10/2019,cepy,24.90017783,0.246221576,2.54006229,0.091736405,0.315751759
3/10/2019,cole,3.224208869,0.325331279,2.54006229,0.091736405,0.040795106
3/11/2019,cepy,25.85727525,0.256118324,2.655852838,0.08869619,0.316250141
3/11/2019,cole,2.735983972,0.25812257,2.655852838,0.08869619,0.02559402
3/12/2019,cepy,23.35521365,0.232193979,1.720806605,0.090230497,0.216916654
3/12/2019,cole,2.773981296,0.269687173,1.720806605,0.090230497,0.005828445
3/13/2019,cepy,25.66764287,0.256227304,1.146459429,0.096048153,0.211903478
3/13/2019,cole,5.477719328,0.502436609,1.146459429,0.096048153,0.017628803
3/14/2019,cepy,22.27828409,0.221897363,0.873205953,0.113229729,0.181101637
3/14/2019,cole,8.898696568,0.702576803,0.873205953,0.113229729,0.031832313
3/15/2019,cepy,26.27525415,0.274792978,1.189144143,0.210340446,0.219775248
3/15/2019,cole,16.47502887,1.149513432,1.189144143,0.210340446,0.21984239
3/16/2019,cepy,36.67317651,0.37450942,1.705667129,0.188563703,0.389728703
3/16/2019,cole,16.60440539,1.144423041,1.705667129,0.188563703,0.324542984
3/17/2019,cepy,28.82997092,0.29647989,1.661005163,0.16973687,0.293819893
3/17/2019,cole,15.05220453,1.058122617,1.661005163,0.16973687,0.269964456
3/18/2019,cepy,30.27091222,0.307355092,1.227810079,0.158085204,0.206952452
3/18/2019,cole,15.05522908,1.024360531,1.227810079,0.158085204,0.096454707
